wd,wws
240,1
240.1,1
240.2,1
240.3,1
240.4,1
240.5,1
240.6,1
240.7,1
240.8,1
240.9,1
241,1
241.1,1
241.2,1
241.3,1
241.4,1
241.5,1
241.6,1
241.7,1
241.8,1
241.9,1
242,1
242.1,1
242.2,1
242.3,1
242.4,1
242.5,1
242.6,1
242.7,1
242.8,1
242.9,1
243,1
243.1,1
243.2,1
243.3,1
243.4,1
243.5,1
243.6,1
243.7,1
243.8,1
243.9,1
244,1
244.1,1
244.2,1
244.3,1
244.4,1
244.5,1
244.6,1
244.7,1
244.8,1
244.9,1
245,1
245.1,1
245.2,1
245.3,1
245.4,1
245.5,1
245.6,1
245.7,1
245.8,1
245.9,1
246,1
246.1,1
246.2,1
246.3,1
246.4,1
246.5,1
246.6,1
246.7,1
246.8,1
246.9,1
247,1
247.1,1
247.2,1
247.3,1
247.4,1
247.5,1
247.6,1
247.7,1
247.8,1
247.9,1
248,1
248.1,1
248.2,1
248.3,1
248.4,1
248.5,1
248.6,1
248.7,1
248.8,1
248.9,1
249,1
249.1,1
249.2,1
249.3,1
249.4,1
249.5,1
249.6,1
249.7,1
249.8,1
249.9,1
250,1
250.1,1
250.2,1
250.3,1
250.4,1
250.5,1
250.6,1
250.7,1
250.8,1
250.9,1
251,1
251.1,1
251.2,1
251.3,1
251.4,1
251.5,1
251.6,1
251.7,1
251.8,1
251.9,1
252,1
252.1,1
252.2,1
252.3,1
252.4,1
252.5,1
252.6,1
252.7,1
252.8,1
252.9,1
253,1
253.1,1
253.2,1
253.3,1
253.4,1
253.5,1
253.6,1
253.7,1
253.8,1
253.9,1
254,1
254.1,1
254.2,1
254.3,1
254.4,1
254.5,1
254.6,1
254.7,1
254.8,1
254.9,1
255,1
255.1,1
255.2,1
255.3,1
255.4,1
255.5,1
255.6,1
255.7,1
255.8,0.993538664077203
255.9,0.993163657321804
256,0.992770495327025
256.1,0.992358313847786
256.2,0.991925610053336
256.3,0.991472642429319
256.4,0.990998649684299
256.5,0.990501674053008
256.6,0.98998221270739
256.7,0.989439530053926
256.8,0.988871463143701
256.9,0.98827850586591
257,0.987659983170125
257.1,0.987013702153042
257.2,0.986339994876325
257.3,0.985638312213906
257.4,0.984906427366052
257.5,0.984144540999792
257.6,0.983352231745704
257.7,0.982527231179693
257.8,0.981669653228834
257.9,0.980779200463236
258,0.979853551280177
258.1,0.978892787644138
258.2,0.977896729926102
258.3,0.976862989104334
258.4,0.975791697415342
258.5,0.97468276936836
258.6,0.973533728520613
258.7,0.972344839286829
258.8,0.971116091762022
258.9,0.96984490254454
259,0.968531765562319
259.1,0.96717671860786
259.2,0.965777049935718
259.3,0.96433358834902
259.4,0.962846386758057
259.5,0.961312584298864
259.6,0.959733454176337
259.7,0.958109028463984
259.8,0.956436278914363
259.9,0.954717032094708
260,0.952951261644229
260.1,0.951135758385933
260.2,0.949273005115791
260.3,0.9473627123794
260.4,0.945401986275212
260.5,0.943393553818119
260.6,0.941336847389892
260.7,0.939229736935285
260.8,0.937074820137102
260.9,0.934871338387179
261,0.932618039295836
261.1,0.930317338994172
261.2,0.927968281561089
261.3,0.925570580132477
261.4,0.923126425330613
261.5,0.92063467246435
261.6,0.918096054594981
261.7,0.915512504495281
261.8,0.912882714836796
261.9,0.910208452415198
262,0.90749137471691
262.1,0.904730057903725
262.2,0.901927269278807
262.3,0.899084382259158
262.4,0.896199952561399
262.5,0.893277634297122
262.6,0.890318154571413
262.7,0.887321318579717
262.8,0.884290346375519
262.9,0.881225831351371
263,0.878128716993821
263.1,0.875001814308954
263.2,0.871845680663186
263.3,0.86866222402995
263.4,0.865453897868534
263.5,0.862221346668234
263.6,0.858967205627504
263.7,0.855693649591388
263.8,0.852401558002709
263.9,0.84909399374919
264,0.845772832335429
264.1,0.842439740485255
264.2,0.839097468583526
264.3,0.835747987758945
264.4,0.832393539537496
264.5,0.829036552890671
264.6,0.825679322258521
264.7,0.822324260240938
264.8,0.818973626984464
264.9,0.815630241610804
265,0.812296234810439
265.1,0.808973964717588
265.2,0.805666720853472
265.3,0.802376128951174
265.4,0.799105063046563
265.5,0.795856576665548
265.6,0.792632199808558
265.7,0.789435477805356
265.8,0.786268700366033
265.9,0.783133519200963
266,0.780034380951238
266.1,0.776972265521718
266.2,0.773949449942233
266.3,0.770970689004856
266.4,0.76803592392432
266.5,0.7651486501479
266.6,0.762312258910748
266.7,0.759527003855557
266.8,0.756797459385703
266.9,0.754125094991387
