ws,wd,freq_val
0.0,0.0,1.629513753096076e-05
0.0,5.0,1.629513753096076e-05
0.0,10.0,4.888541259288228e-05
0.0,15.0,3.259027506192152e-05
0.0,20.0,6.518055012384304e-05
0.0,25.0,6.518055012384304e-05
0.0,30.0,1.629513753096076e-05
0.0,35.0,0.0
0.0,40.0,3.259027506192152e-05
0.0,45.0,4.888541259288228e-05
0.0,50.0,0.0
0.0,55.0,0.0
0.0,60.0,4.888541259288228e-05
0.0,65.0,1.629513753096076e-05
0.0,70.0,3.259027506192152e-05
0.0,75.0,1.629513753096076e-05
0.0,80.0,3.259027506192152e-05
0.0,85.0,4.888541259288228e-05
0.0,90.0,4.888541259288228e-05
0.0,95.0,4.888541259288228e-05
0.0,100.0,4.888541259288228e-05
0.0,105.0,6.518055012384304e-05
0.0,110.0,4.888541259288228e-05
0.0,115.0,4.888541259288228e-05
0.0,120.0,0.0
0.0,125.0,1.629513753096076e-05
0.0,130.0,1.629513753096076e-05
0.0,135.0,1.629513753096076e-05
0.0,140.0,3.259027506192152e-05
0.0,145.0,4.888541259288228e-05
0.0,150.0,1.629513753096076e-05
0.0,155.0,1.629513753096076e-05
0.0,160.0,0.0
0.0,165.0,1.629513753096076e-05
0.0,170.0,1.629513753096076e-05
0.0,175.0,3.259027506192152e-05
0.0,180.0,0.0
0.0,185.0,1.629513753096076e-05
0.0,190.0,1.629513753096076e-05
0.0,195.0,1.629513753096076e-05
0.0,200.0,1.629513753096076e-05
0.0,205.0,3.259027506192152e-05
0.0,210.0,1.629513753096076e-05
0.0,215.0,3.259027506192152e-05
0.0,220.0,4.888541259288228e-05
0.0,225.0,4.888541259288228e-05
0.0,230.0,4.888541259288228e-05
0.0,235.0,4.888541259288228e-05
0.0,240.0,4.888541259288228e-05
0.0,245.0,1.629513753096076e-05
0.0,250.0,8.14756876548038e-05
0.0,255.0,1.629513753096076e-05
0.0,260.0,1.629513753096076e-05
0.0,265.0,1.629513753096076e-05
0.0,270.0,1.629513753096076e-05
0.0,275.0,1.629513753096076e-05
0.0,280.0,3.259027506192152e-05
0.0,285.0,1.629513753096076e-05
0.0,290.0,4.888541259288228e-05
0.0,295.0,0.0
0.0,300.0,0.0
0.0,305.0,1.629513753096076e-05
0.0,310.0,1.629513753096076e-05
0.0,315.0,0.0
0.0,320.0,9.777082518576456e-05
0.0,325.0,0.0
0.0,330.0,0.0
0.0,335.0,0.0
0.0,340.0,1.629513753096076e-05
0.0,345.0,3.259027506192152e-05
0.0,350.0,4.888541259288228e-05
0.0,355.0,6.518055012384304e-05
1.0,0.0,0.00019554165037152912
1.0,5.0,0.00022813192543345064
1.0,10.0,0.00026072220049537216
1.0,15.0,0.00014665623777864684
1.0,20.0,0.00017924651284056836
1.0,25.0,0.00026072220049537216
1.0,30.0,0.00024442706296441143
1.0,35.0,0.00024442706296441143
1.0,40.0,0.00019554165037152912
1.0,45.0,0.0001629513753096076
1.0,50.0,0.0002118367879024899
1.0,55.0,0.00026072220049537216
1.0,60.0,0.00014665623777864684
1.0,65.0,0.00021183678790248988
1.0,70.0,0.00030960761308825447
1.0,75.0,0.00030960761308825447
1.0,80.0,0.0003259027506192152
1.0,85.0,0.00029331247555729374
1.0,90.0,0.0001629513753096076
1.0,95.0,0.00017924651284056836
1.0,100.0,0.0001629513753096076
1.0,105.0,0.00021183678790248988
1.0,110.0,0.00024442706296441143
1.0,115.0,0.00024442706296441143
1.0,120.0,0.0002933124755572937
1.0,125.0,0.00024442706296441143
1.0,130.0,0.0002770173380263329
1.0,135.0,0.00024442706296441143
1.0,140.0,0.00026072220049537216
1.0,145.0,0.0003259027506192152
1.0,150.0,0.00022813192543345064
1.0,155.0,0.0002933124755572937
1.0,160.0,0.00024442706296441143
1.0,165.0,0.0001629513753096076
1.0,170.0,0.00021183678790248988
1.0,175.0,0.00017924651284056836
1.0,180.0,0.00019554165037152912
1.0,185.0,0.0001629513753096076
1.0,190.0,0.0002933124755572937
1.0,195.0,0.00022813192543345064
1.0,200.0,0.0002933124755572937
1.0,205.0,0.00021183678790248988
1.0,210.0,0.0002933124755572937
1.0,215.0,0.00021183678790248988
1.0,220.0,0.00026072220049537216
1.0,225.0,0.0003259027506192152
1.0,230.0,0.00021183678790248988
1.0,235.0,0.00030960761308825447
1.0,240.0,0.000342197888150176
1.0,245.0,0.00026072220049537216
1.0,250.0,0.00021183678790248988
1.0,255.0,0.00017924651284056836
1.0,260.0,0.0003259027506192152
1.0,265.0,0.00021183678790248988
1.0,270.0,0.0003259027506192152
1.0,275.0,0.00019554165037152912
1.0,280.0,9.777082518576456e-05
1.0,285.0,0.0002770173380263329
1.0,290.0,0.00019554165037152912
1.0,295.0,0.00026072220049537216
1.0,300.0,0.00022813192543345064
1.0,305.0,0.00019554165037152912
1.0,310.0,0.00021183678790248988
1.0,315.0,0.00026072220049537216
1.0,320.0,0.00021183678790248988
1.0,325.0,0.00019554165037152912
1.0,330.0,0.0002770173380263329
1.0,335.0,0.00022813192543345064
1.0,340.0,0.00013036110024768608
1.0,345.0,0.00022813192543345064
1.0,350.0,0.0001629513753096076
1.0,355.0,0.00026072220049537216
2.0,0.0,0.0006029200886455481
2.0,5.0,0.000407378438274019
2.0,10.0,0.0005214444009907443
2.0,15.0,0.000407378438274019
2.0,20.0,0.0005540346760526659
2.0,25.0,0.00040737843827401903
2.0,30.0,0.0004888541259288228
2.0,35.0,0.0005051492634597836
2.0,40.0,0.0005866249511145874
2.0,45.0,0.0005051492634597836
2.0,50.0,0.0005540346760526658
2.0,55.0,0.0005866249511145874
2.0,60.0,0.0006029200886455481
2.0,65.0,0.0007006909138313127
2.0,70.0,0.0005540346760526659
2.0,75.0,0.0004888541259288229
2.0,80.0,0.00043996871333594055
2.0,85.0,0.0005377395385217051
2.0,90.0,0.0002770173380263329
2.0,95.0,0.0004562638508669013
2.0,100.0,0.0005540346760526658
2.0,105.0,0.0004888541259288229
2.0,110.0,0.0005051492634597836
2.0,115.0,0.0005051492634597836
2.0,120.0,0.000342197888150176
2.0,125.0,0.0004562638508669013
2.0,130.0,0.0005214444009907443
2.0,135.0,0.00042367357580497977
2.0,140.0,0.0007332811888932343
2.0,145.0,0.000472558988397862
2.0,150.0,0.0005214444009907442
2.0,155.0,0.000749576326424195
2.0,160.0,0.0008473471516099595
2.0,165.0,0.0005377395385217051
2.0,170.0,0.0005214444009907443
2.0,175.0,0.000749576326424195
2.0,180.0,0.0006192152261765088
2.0,185.0,0.0005214444009907443
2.0,190.0,0.0006029200886455481
2.0,195.0,0.0005703298135836265
2.0,200.0,0.0005866249511145874
2.0,205.0,0.0006192152261765089
2.0,210.0,0.0006843957763003519
2.0,215.0,0.0006843957763003519
2.0,220.0,0.0007821666014861165
2.0,225.0,0.0007006909138313126
2.0,230.0,0.0006029200886455482
2.0,235.0,0.0004399687133359405
2.0,240.0,0.0005866249511145874
2.0,245.0,0.0006192152261765088
2.0,250.0,0.0003910833007430583
2.0,255.0,0.0004399687133359405
2.0,260.0,0.0005051492634597836
2.0,265.0,0.00034219788815017594
2.0,270.0,0.00034219788815017594
2.0,275.0,0.0005214444009907443
2.0,280.0,0.0003584930256811367
2.0,285.0,0.0004236735758049798
2.0,290.0,0.00039108330074305825
2.0,295.0,0.00026072220049537216
2.0,300.0,0.00022813192543345064
2.0,305.0,0.000342197888150176
2.0,310.0,0.00030960761308825447
2.0,315.0,0.0004888541259288229
2.0,320.0,0.0002933124755572937
2.0,325.0,0.0004888541259288229
2.0,330.0,0.0005051492634597836
2.0,335.0,0.00022813192543345064
2.0,340.0,0.00030960761308825447
2.0,345.0,0.0004888541259288229
2.0,350.0,0.00043996871333594055
2.0,355.0,0.00043996871333594055
3.0,0.0,0.0006681006387693913
3.0,5.0,0.0007332811888932342
3.0,10.0,0.0007332811888932342
3.0,15.0,0.0007332811888932343
3.0,20.0,0.0007332811888932343
3.0,25.0,0.0007169860513622735
3.0,30.0,0.0008310520140789988
3.0,35.0,0.000749576326424195
3.0,40.0,0.0007984617390170772
3.0,45.0,0.0009125277017338027
3.0,50.0,0.0008636422891409204
3.0,55.0,0.0005540346760526658
3.0,60.0,0.0008636422891409204
3.0,65.0,0.0009940033893886065
3.0,70.0,0.0007984617390170773
3.0,75.0,0.0008962325642028417
3.0,80.0,0.0008799374266718811
3.0,85.0,0.0008636422891409204
3.0,90.0,0.0008799374266718811
3.0,95.0,0.0007006909138313127
3.0,100.0,0.0008310520140789987
3.0,105.0,0.0008310520140789988
3.0,110.0,0.0008799374266718811
3.0,115.0,0.0007169860513622735
3.0,120.0,0.000879937426671881
3.0,125.0,0.0008310520140789988
3.0,130.0,0.0008799374266718811
3.0,135.0,0.0008310520140789987
3.0,140.0,0.0010428888019814887
3.0,145.0,0.0011243644896362925
3.0,150.0,0.000945117976795724
3.0,155.0,0.001026593664450528
3.0,160.0,0.0011406596271672533
3.0,165.0,0.0009940033893886062
3.0,170.0,0.001433972102724547
3.0,175.0,0.0012710207274149394
3.0,180.0,0.0012384304523530179
3.0,185.0,0.001026593664450528
3.0,190.0,0.0011243644896362925
3.0,195.0,0.0009614131143266848
3.0,200.0,0.0009940033893886065
3.0,205.0,0.0011243644896362925
3.0,210.0,0.0009940033893886065
3.0,215.0,0.0007984617390170772
3.0,220.0,0.0007006909138313126
3.0,225.0,0.0007821666014861165
3.0,230.0,0.0008473471516099595
3.0,235.0,0.0006843957763003519
3.0,240.0,0.0009940033893886065
3.0,245.0,0.0006355103637074697
3.0,250.0,0.0007006909138313127
