Tp,Hs,ws,Cp,Ct
2,5,8.70588182,0.211853857,0.389267345
2,5,9.027284445,0.211466406,0.389267345
2,5,9.385612468,0.211026278,0.389267345
2,5,9.780037514,0.210532908,0.389267345
2,5,10.20964776,0.209986228,0.389267345
2,5,10.67345004,0.209700338,0.390765535
2,5,10.86770694,0.209490979,0.379467656
2,5,11.17037214,0.192919568,0.307239428
2,5,11.6992653,0.167920042,0.249343901
2,5,12.25890683,0.145956645,0.208177305
2,5,12.84800295,0.126786257,0.175972423
2,5,13.46519181,0.110139041,0.149916169
2,5,14.10904661,0.095738954,0.128478303
2,5,14.77807889,0.083315672,0.110661085
2,5,15.470742,0.072618399,0.09575379
2,5,16.18543466,0.063417145,0.083217762
2,5,16.92050464,0.055505963,0.072631842
2,5,17.67425264,0.048703059,0.063659925
2,5,18.44493615,0.042849704,0.05603024
2,5,19.23077353,0.037808456,0.049521095
2,5,20.02994808,0.033461058,0.043950578
2,5,20.8406123,0.029706239,0.039168723
2,5,21.66089211,0.026457614,0.035051475
2,5,22.4888912,0.023641495,0.031495701
2,5,23.32269542,0.021195461,0.028415824
2,5,24.1603772,0.01906637,0.02574031
2,5,25,0.01720914,0.023409394
2,5,25.02,0,0
2,5,50,0,0
4,1,0,0,0
4,1,3,0.012340309,0.20438333
4,1,3.54953237,0.056081063,0.198028823
4,1,4.067900771,0.078054105,0.196600475
4,1,4.553906848,0.090024968,0.197224686
4,1,5.006427063,0.09690301,0.197693644
4,1,5.424415288,0.101002541,0.198021673
4,1,5.806905228,0.103494831,0.197964523
4,1,6.153012649,0.105020923,0.197596325
4,1,6.461937428,0.105946941,0.197063259
4,1,6.732965398,0.106494474,0.196461296
4,1,6.965470002,0.106798318,0.195841791
4,1,7.158913742,0.106795876,0.194633673
4,1,7.312849418,0.106715232,0.194633673
4,1,7.426921164,0.10665449,0.194633673
4,1,7.500865272,0.106614696,0.194633673
4,1,7.534510799,0.106596489,0.194633673
4,1,7.541241633,0.106592847,0.194633673
4,1,7.58833327,0.106567207,0.194633673
4,1,7.675676842,0.106519364,0.194633673
4,1,7.803070431,0.106448826,0.194633673
4,1,7.970219531,0.106355012,0.194633673
4,1,8.176737731,0.106237214,0.194633673
4,1,8.422147605,0.106094757,0.194633673
4,1,8.70588182,0.105926929,0.194633673
4,1,9.027284445,0.105733203,0.194633673
4,1,9.385612468,0.105513139,0.194633673
4,1,9.780037514,0.105266454,0.194633673
4,1,10.20964776,0.104993114,0.194633673
4,1,10.67345004,0.104850169,0.195382767
4,1,10.86770694,0.104745489,0.189733828
4,1,11.17037214,0.096459784,0.153619714
4,1,11.6992653,0.083960021,0.12467195
4,1,12.25890683,0.072978323,0.104088652
4,1,12.84800295,0.063393129,0.087986212
4,1,13.46519181,0.055069521,0.074958084
4,1,14.10904661,0.047869477,0.064239152
4,1,14.77807889,0.041657836,0.055330542
4,1,15.470742,0.036309199,0.047876895
4,1,16.18543466,0.031708572,0.041608881
4,1,16.92050464,0.027752981,0.036315921
4,1,17.67425264,0.02435153,0.031829962
4,1,18.44493615,0.021424852,0.02801512
4,1,19.23077353,0.018904228,0.024760547
4,1,20.02994808,0.016730529,0.021975289
4,1,20.8406123,0.014853119,0.019584362
4,1,21.66089211,0.013228807,0.017525738
4,1,22.4888912,0.011820748,0.015747851
4,1,23.32269542,0.010597731,0.014207912
4,1,24.1603772,0.009533185,0.012870155
4,1,25,0.00860457,0.011704697
4,1,25.02,0,0
4,1,50,0,0
4,5,0,0,0
4,5,3,0.006170155,0.102191665
4,5,3.54953237,0.028040532,0.099014412
4,5,4.067900771,0.039027052,0.098300238
4,5,4.553906848,0.045012484,0.098612343
4,5,5.006427063,0.048451505,0.098846822
4,5,5.424415288,0.050501271,0.099010836
4,5,5.806905228,0.051747416,0.098982261
4,5,6.153012649,0.052510462,0.098798163
4,5,6.461937428,0.052973471,0.09853163
4,5,6.732965398,0.053247237,0.098230648
4,5,6.965470002,0.053399159,0.097920896
4,5,7.158913742,0.053397938,0.097316836
4,5,7.312849418,0.053357616,0.097316836
4,5,7.426921164,0.053327245,0.097316836
4,5,7.500865272,0.053307348,0.097316836
4,5,7.534510799,0.053298245,0.097316836
4,5,7.541241633,0.053296424,0.097316836
4,5,7.58833327,0.053283603,0.097316836
4,5,7.675676842,0.053259682,0.097316836
4,5,7.803070431,0.053224413,0.097316836
4,5,7.970219531,0.053177506,0.097316836
4,5,8.176737731,0.053118607,0.097316836
4,5,8.422147605,0.053047379,0.097316836
4,5,8.70588182,0.052963464,0.097316836
4,5,9.027284445,0.052866602,0.097316836
4,5,9.385612468,0.05275657,0.097316836
4,5,9.780037514,0.052633227,0.097316836
4,5,10.20964776,0.052496557,0.097316836
4,5,10.67345004,0.052425085,0.097691384
4,5,10.86770694,0.052372745,0.094866914
4,5,11.17037214,0.048229892,0.076809857
4,5,11.6992653,0.041980011,0.062335975
4,5,12.25890683,0.036489161,0.052044326
4,5,12.84800295,0.031696564,0.043993106
4,5,13.46519181,0.02753476,0.037479042
4,5,14.10904661,0.023934739,0.032119576
4,5,14.77807889,0.020828918,0.027665271
4,5,15.470742,0.0181546,0.023938448
4,5,16.18543466,0.015854286,0.020804441
4,5,16.92050464,0.013876491,0.018157961
4,5,17.67425264,0.012175765,0.015914981
4,5,18.44493615,0.010712426,0.01400756
4,5,19.23077353,0.009452114,0.012380274
4,5,20.02994808,0.008365265,0.010987645
4,5,20.8406123,0.00742656,0.009792181
4,5,21.66089211,0.006614404,0.008762869
4,5,22.4888912,0.005910374,0.007873925
4,5,23.32269542,0.005298865,0.007103956
4,5,24.1603772,0.004766593,0.006435078
4,5,25,0.004302285,0.005852349
4,5,25.02,0,0
4,5,50,0,0
